logical_x	logical_y	runtime_x0	runtime_y0	runtime_x1	runtime_y1	expected_rgba	actual_origin_rgba	uniform	mismatch_pixels
8	11	64	88	71	95	#00000000	#00000000	true	0
9	11	72	88	79	95	#00000000	#00000000	true	0
10	11	80	88	87	95	#2A3340FF	#2A3340FF	true	0
11	11	88	88	95	95	#F4F2E8FF	#F4F2E8FF	true	0
12	11	96	88	103	95	#F4F2E8FF	#F4F2E8FF	true	0
13	11	104	88	111	95	#F4F2E8FF	#F4F2E8FF	true	0
14	11	112	88	119	95	#F4F2E8FF	#F4F2E8FF	true	0
15	11	120	88	127	95	#F4F2E8FF	#F4F2E8FF	true	0
16	11	128	88	135	95	#F4F2E8FF	#F4F2E8FF	true	0
17	11	136	88	143	95	#F4F2E8FF	#F4F2E8FF	true	0
18	11	144	88	151	95	#F4F2E8FF	#F4F2E8FF	true	0
19	11	152	88	159	95	#F4F2E8FF	#F4F2E8FF	true	0
20	11	160	88	167	95	#F4F2E8FF	#F4F2E8FF	true	0
21	11	168	88	175	95	#F4F2E8FF	#F4F2E8FF	true	0
22	11	176	88	183	95	#F4F2E8FF	#F4F2E8FF	true	0
23	11	184	88	191	95	#F4F2E8FF	#F4F2E8FF	true	0
0	12	0	96	7	103	#00000000	#00000000	true	0
1	12	8	96	15	103	#00000000	#00000000	true	0
2	12	16	96	23	103	#00000000	#00000000	true	0
3	12	24	96	31	103	#00000000	#00000000	true	0
4	12	32	96	39	103	#00000000	#00000000	true	0
5	12	40	96	47	103	#00000000	#00000000	true	0
6	12	48	96	55	103	#00000000	#00000000	true	0
7	12	56	96	63	103	#00000000	#00000000	true	0
8	12	64	96	71	103	#00000000	#00000000	true	0
9	12	72	96	79	103	#00000000	#00000000	true	0
10	12	80	96	87	103	#2A3340FF	#2A3340FF	true	0
11	12	88	96	95	103	#F4F2E8FF	#F4F2E8FF	true	0
12	12	96	96	103	103	#F4F2E8FF	#F4F2E8FF	true	0
13	12	104	96	111	103	#F4F2E8FF	#F4F2E8FF	true	0
14	12	112	96	119	103	#F4F2E8FF	#F4F2E8FF	true	0
